StartTime: 2017-07-31 14:45:39.542
55 steps walking 14 stairs (up and down)
Time(s)	TMin ChipTime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
68.517	1 38.780	-0.2734	0.0361	1.1626	5.5542	3.8452	-56.0913	0.9943	13.1836	57.7936	43.7600	572	283	-154	99955	1.15 
68.517	1 38.800	-0.2168	0.0439	1.2871	7.6294	-6.5308	-59.5093	0.8789	13.1451	56.6565	43.3300	571	284	-156	99955	1.15 
68.533	1 38.820	-0.1426	0.0654	1.3667	9.2163	-24.7192	-60.3638	0.7855	12.7606	55.4755	43.5700	571	285	-158	99955	1.15 
68.549	1 38.840	-0.0396	0.0347	1.3213	9.5215	-33.8135	-59.2651	0.7471	12.0300	54.3604	43.6600	571	285	-159	99954	1.15 
68.580	1 38.860	-0.1353	0.0591	1.3340	11.5967	-17.6392	-60.7300	0.7141	11.4423	53.2233	43.5700	571	288	-159	99954	1.15 
68.580	1 38.880	-0.4121	0.2246	1.3882	15.9302	-11.3525	-51.8799	0.8514	11.2335	52.1686	43.4200	571	292	-160	99954	1.15 
68.611	1 38.900	-0.4468	0.2676	1.1274	12.2681	-23.6816	-37.7808	1.0931	10.9863	51.3281	43.6600	572	295	-160	99954	1.15 
68.627	1 38.920	-0.3940	0.1509	0.8560	8.3008	-13.7329	-24.7192	1.2799	10.7666	50.7843	43.7100	572	297	-160	99954	1.15 
68.642	1 38.940	-0.4482	-0.0317	0.7764	10.3760	-0.5493	-22.0337	1.3898	10.9039	50.3778	43.5700	570	299	-161	99954	1.15 
68.689	1 38.960	-0.3809	-0.1763	0.7407	12.3291	9.8877	-21.4844	1.3898	11.2335	50.0208	43.4200	571	301	-163	99954	1.15 
68.721	1 38.980	-0.3467	-0.1523	0.7983	11.2915	21.7896	-16.4185	1.3733	11.7279	49.7736	43.7100	574	302	-163	99954	1.15 
68.721	1 39.000	-0.3701	0.0024	0.9307	7.7515	25.0854	-6.1646	1.4447	12.3596	49.6747	43.6600	575	302	-161	99954	1.15 
68.736	1 39.020	-0.3296	0.1079	0.9497	-1.9531	17.6392	6.7749	1.5381	12.8540	49.8285	43.6600	573	302	-160	99953	1.15 
68.736	1 39.040	-0.2729	0.1592	0.9229	-12.3901	18.3716	12.1460	1.4941	13.2440	50.1416	43.6600	574	303	-160	99954	1.15 
68.767	1 39.060	-0.2954	0.1982	0.9873	-15.8081	9.2773	17.2119	1.3403	13.6121	50.5261	43.7100	575	304	-160	99954	1.15 
68.799	1 39.080	-0.2129	0.1523	0.9150	-14.8926	7.1411	18.0054	1.2524	13.7549	51.0095	43.6600	577	305	-160	99954	1.15 
68.830	1 39.100	-0.1821	0.0913	0.8853	-14.5874	3.4180	18.4937	1.1206	13.8263	51.4819	43.7100	578	302	-157	99954	1.15 
68.846	1 39.120	-0.1631	-0.0063	0.8555	-13.0615	-0.5493	23.4985	0.9613	13.7933	52.0258	43.5200	579	299	-155	99953	1.15 
68.846	1 39.140	-0.1587	-0.0610	0.8887	-13.7939	0.9766	29.0527	0.7965	13.7219	52.7014	43.5200	579	297	-154	99953	1.15 
68.892	1 39.160	-0.2007	-0.0771	0.9282	-12.7563	-2.5024	34.3018	0.6262	13.6725	53.4650	43.6600	581	296	-155	99953	1.15 
68.908	1 39.180	-0.1499	-0.1006	0.8721	-9.3994	1.9531	33.3862	0.4889	13.5846	54.2505	43.5200	583	295	-155	99953	1.15 
68.924	1 39.200	-0.1313	-0.0972	0.8633	-5.9814	3.6011	33.4473	0.4395	13.5736	55.0470	43.5700	583	295	-154	99954	1.15 
68.924	1 39.220	-0.1113	-0.1001	0.8853	-2.7466	5.1880	30.8228	0.4340	13.5901	55.8051	43.5700	584	295	-154	99954	1.15 
68.955	1 39.240	-0.0820	-0.1104	0.9209	0.1831	5.6152	27.5269	0.4724	13.5956	56.4862	43.5700	585	294	-154	99954	1.15 
68.986	1 39.260	-0.0508	-0.1094	0.9263	2.9907	4.2725	23.1323	0.5493	13.5571	57.0795	43.6600	590	294	-153	99953	1.15 
69.002	1 39.280	-0.1084	-0.0781	1.0522	5.2490	5.1880	18.7988	0.6757	13.5571	57.5739	43.4200	591	293	-149	99953	1.15 
69.033	1 39.300	-0.1079	-0.0195	1.0918	8.7280	1.7090	15.6860	0.8679	13.4967	57.9858	43.5200	592	292	-149	99954	1.15 
69.033	1 39.320	-0.1680	0.0293	1.1914	9.2163	-0.7324	15.0757	1.1316	13.4198	58.3539	43.5200	591	291	-151	99954	1.15 
69.064	1 39.340	-0.1860	0.0220	1.2642	6.1035	-7.9346	10.4370	1.3458	13.2605	58.6615	43.6600	592	289	-149	99953	1.15 
69.096	1 39.360	-0.1484	0.0332	1.2803	1.8311	-12.6343	4.5776	1.4392	12.9803	58.8263	43.5200	596	292	-152	99953	1.15 
69.127	1 39.380	-0.0845	0.0898	1.2969	0.3052	-17.5171	8.7891	1.4941	12.5739	58.9966	43.4200	598	293	-154	99953	1.15 
69.142	1 39.400	0.0186	0.2021	1.2256	-0.4883	-24.4141	23.1323	1.6370	11.9641	59.3866	43.5700	596	294	-154	99953	1.15 
69.158	1 39.420	-0.1089	0.2241	1.3047	-5.9204	-14.2822	29.8462	1.7908	11.4478	59.9963	43.6600	593	291	-153	99953	1.15 
69.158	1 39.440	-0.4097	0.0142	1.3647	-11.0474	-21.6064	25.7568	1.7468	11.0852	60.5676	43.5700	591	289	-153	99953	1.15 
69.189	1 39.460	-0.5054	-0.2090	1.1006	-7.8735	-18.7988	20.6299	1.5326	10.7996	61.0181	43.6600	590	287	-152	99953	1.15 
69.205	1 39.480	-0.4951	-0.1343	0.8120	-10.1929	-5.6763	23.8647	1.3019	10.7556	61.4575	43.4200	592	286	-156	99954	1.15 
69.299	1 39.500	-0.5703	0.0918	0.7656	-15.6860	14.7705	43.3350	1.1865	11.2225	62.0837	43.7100	593	286	-155	99954	1.15 
69.299	1 39.520	-0.3486	0.3667	0.6382	-22.8882	26.1841	71.3501	1.2799	11.7993	63.2318	43.6600	592	286	-155	99953	1.15 
69.299	1 39.540	-0.3872	0.2524	0.8711	-21.6675	31.6772	85.5713	1.4008	12.5903	64.8358	43.5700	592	286	-155	99953	1.15 
69.330	1 39.560	-0.2954	0.0679	0.9922	-13.9771	24.2310	75.1953	1.5106	13.1671	66.4069	43.7100	594	283	-155	99953	1.15 
69.346	1 39.580	-0.2715	-0.1230	1.0386	-5.6763	20.9351	52.8564	1.5601	13.5681	67.6263	43.5700	597	280	-154	99953	1.15 
69.346	1 39.600	-0.2451	-0.1445	0.9834	-0.1221	13.6719	43.4570	1.6370	13.8812	68.5272	43.3700	601	276	-153	99953	1.15 
69.377	1 39.620	-0.2690	-0.1606	1.0024	-1.4038	16.2354	49.0112	1.7249	14.1998	69.4281	43.5200	603	273	-150	99953	1.15 
69.393	1 39.640	-0.2227	-0.0903	0.9463	0.0610	11.4746	56.1523	1.8622	14.4141	70.5103	43.5700	605	271	-150	99953	1.15 
69.408	1 39.660	-0.1196	0.0244	0.8447	2.3193	9.5215	45.7764	2.1259	14.5020	71.4880	43.7100	606	268	-148	99953	1.15 
69.424	1 39.680	-0.1865	0.0503	0.8516	1.8311	14.4653	24.5972	2.3401	14.6832	72.0868	43.4200	608	265	-148	99953	1.15 
69.439	1 39.700	-0.2427	-0.0005	0.8223	4.8218	5.6763	5.1270	2.4719	14.8755	72.2406	43.4200	609	263	-147	99953	1.15 
69.502	1 39.720	-0.2378	-0.0439	0.7822	8.5449	8.5449	-10.0098	2.5323	15.0677	72.0538	43.5700	608	260	-145	99953	1.15 
69.502	1 39.740	-0.2417	-0.0278	0.8364	9.2773	9.3384	-15.8691	2.5818	15.2820	71.6803	43.6600	606	260	-143	99953	1.15 
69.533	1 39.760	-0.1836	0.0337	0.8862	7.6904	5.0659	-14.6484	2.6422	15.3973	71.2903	43.7100	606	260	-140	99953	1.15 
69.533	1 39.780	-0.1548	0.0757	0.9175	6.1035	6.8359	-16.4795	2.7081	15.4742	70.9058	43.6600	606	260	-138	99953	1.15 
69.549	1 39.800	-0.1577	0.0742	0.9917	5.5542	5.4321	-24.1089	2.7301	15.5402	70.4114	43.4200	609	261	-138	99953	1.15 
69.580	1 39.820	-0.1514	0.0283	1.0474	5.6152	2.3193	-35.7666	2.6587	15.5566	69.7137	43.5700	612	262	-139	99953	1.15 
69.596	1 39.840	-0.1792	-0.0225	1.1289	7.8735	-1.6479	-48.9502	2.5104	15.5182	68.7524	43.4200	614	262	-140	99953	1.15 
69.611	1 39.860	-0.1914	0.0186	1.1201	9.5215	-3.4180	-54.5044	2.3566	15.4248	67.6044	43.5700	615	262	-140	99953	1.15 
69.627	1 39.880	-0.1978	0.0898	1.1514	11.3525	3.1738	-49.3774	2.3016	15.4138	66.5112	43.4200	615	266	-139	99953	1.15 
69.658	1 39.900	-0.1694	0.0615	1.3066	13.3667	-3.1738	-50.7813	2.2961	15.3754	65.4675	43.5700	614	268	-139	99953	1.15 
69.768	1 39.920	-0.1367	0.0039	1.3667	15.7471	-17.4561	-51.3916	2.3071	15.0623	64.4019	43.6600	616	271	-139	99953	1.15 
69.814	1 39.940	-0.2642	-0.0435	1.4180	17.9443	-14.1602	-55.2368	2.3016	14.6942	63.2922	43.5200	617	275	-139	99953	1.15 
69.814	1 39.960	-0.5479	0.1216	1.4458	19.7144	-4.8218	-51.5137	2.4060	14.6063	62.1881	43.5200	616	278	-139	99953	1.15 
69.814	1 39.980	-0.6348	0.1753	1.2856	17.0288	-7.6294	-41.6870	2.5818	14.6283	61.2213	43.4200	614	281	-141	99953	1.15 
69.814	1 40.000	-0.5869	0.1143	0.9712	15.0757	-13.7939	-31.3721	2.7740	14.6008	60.4578	43.5700	613	283	-142	99953	1.15 
69.814	1 40.020	-0.4238	-0.0684	0.6714	9.5215	-2.5635	-31.6772	2.8180	14.6448	59.7986	43.5700	613	286	-144	99953	1.15 
69.830	1 40.040	-0.3828	-0.1934	0.7183	10.1929	8.7891	-37.6587	2.6477	14.9799	59.1010	43.5700	615	291	-145	99953	1.15 
69.830	1 40.060	-0.3506	-0.2095	0.7861	11.9629	10.9253	-42.9688	2.4225	15.3259	58.3154	43.4200	613	294	-144	99953	1.15 
69.846	1 40.080	-0.4048	-0.0562	0.8652	11.6577	9.1553	-43.5791	2.3016	15.6940	57.4420	43.5700	612	297	-144	99953	1.15 
69.846	1 40.100	-0.4028	0.0649	0.8623	7.6904	1.7090	-37.8418	2.2687	15.9137	56.6345	43.3300	614	299	-145	99953	1.15 
69.877	1 40.120	-0.3838	0.1230	0.8706	2.1973	-2.3193	-31.6162	2.2083	16.0400	55.9589	43.5700	615	301	-145	99953	1.15 
69.955	1 40.140	-0.3472	0.1396	0.9038	-0.4272	-4.6997	-28.8086	2.1149	16.0675	55.3766	43.6600	616	301	-145	99953	1.15 
70.004	1 40.160	-0.2681	0.0947	0.8931	-0.4883	-7.2632	-25.0244	2.0105	15.9851	54.8822	43.6600	616	301	-145	99953	1.15 
70.004	1 40.180	-0.1455	0.0479	0.8286	1.9531	-4.5776	-18.7378	1.9446	15.7819	54.5251	43.7600	616	304	-146	99953	1.15 
70.004	1 40.200	-0.2969	-0.0464	1.0137	0.0610	-5.8594	-13.3057	1.8182	15.7434	54.2725	43.6600	616	308	-146	99953	1.15 
70.025	1 40.220	-0.1362	-0.0835	0.8203	0.9766	-7.1411	-8.4839	1.7139	15.4523	54.1791	43.6600	616	312	-146	99953	1.15 
70.025	1 40.240	-0.1992	-0.0532	0.8906	-0.7935	-1.2207	-6.4697	1.5985	15.3644	54.1022	43.5200	615	315	-145	99953	1.15 
70.048	1 40.260	-0.1792	-0.0273	0.8765	-0.1831	2.1362	-2.3193	1.5216	15.3259	54.1077	43.5200	614	319	-147	99953	1.15 
70.068	1 40.280	-0.1406	-0.0229	0.8916	1.4648	5.3101	2.4414	1.5051	15.3424	54.2120	43.6600	614	320	-148	99953	1.15 
70.084	1 40.300	-0.1387	-0.0381	0.9385	3.9063	9.1553	4.2725	1.5601	15.3973	54.3823	43.7100	614	319	-149	99953	1.15 
70.131	1 40.320	-0.1338	-0.0308	0.9785	5.4932	6.6528	6.0425	1.6479	15.4413	54.5856	43.6600	613	318	-150	99953	1.15 
70.131	1 40.340	-0.0879	-0.0005	0.9971	7.3853	4.6387	10.9863	1.8127	15.4248	54.8602	43.6600	612	319	-150	99953	1.15 
70.131	1 40.360	-0.0728	0.0210	1.0259	7.1411	2.2583	16.1743	2.0325	15.3589	55.2448	43.7100	611	319	-148	99953	1.15 
70.162	1 40.380	-0.0684	0.0488	1.0322	6.4697	-1.9531	18.4326	2.2742	15.2051	55.6897	43.6600	609	319	-147	99953	1.15 
70.178	1 40.400	-0.0894	0.0366	1.0889	4.8218	-2.8076	15.8081	2.4884	15.0073	56.1072	43.5700	608	319	-146	99953	1.15 
70.178	1 40.420	-0.1396	-0.0239	1.1958	1.5259	-6.3477	8.8501	2.5763	14.7876	56.3983	43.7100	610	319	-147	99953	1.15 
70.240	1 40.440	-0.1484	0.0073	1.2998	-2.7466	-13.8550	7.7515	2.5433	14.4745	56.5961	43.5700	612	319	-146	99953	1.15 
70.256	1 40.460	-0.1050	0.1343	1.3311	-8.8501	-15.1978	15.3198	2.4939	14.0295	56.8982	43.7600	614	319	-144	99953	1.15 
70.256	1 40.480	-0.3892	0.0698	1.5122	-17.5781	-12.9395	15.9912	2.3126	13.7164	57.2717	43.4200	616	321	-144	99953	1.15 
70.287	1 40.500	-0.6851	-0.1938	1.5034	-20.2637	-16.7847	6.1035	1.8896	13.5022	57.4969	43.4200	617	323	-146	99953	1.15 
70.287	1 40.520	-0.6416	-0.1890	1.0894	-12.2681	-15.9912	-7.4463	1.4227	13.3264	57.4310	43.6600	616	323	-149	99953	1.15 
70.428	1 40.540	-0.5435	0.0410	0.7583	-8.4839	1.8921	0.7324	1.1810	13.4912	57.2992	43.5200	614	325	-151	99953	1.15 
70.428	1 40.560	-0.3818	0.2734	0.6558	-13.6719	10.7422	26.7334	1.2085	13.8373	57.5848	43.6600	613	325	-152	99953	1.15 
70.428	1 40.580	-0.1343	0.2905	0.5718	-22.1558	21.6675	48.7671	1.3458	14.1504	58.4473	43.4200	612	325	-153	99953	1.15 
70.428	1 40.600	-0.3271	0.1563	0.7847	-20.5688	28.6255	50.7202	1.3513	14.7656	59.5129	43.6600	614	325	-152	99953	1.15 
70.428	1 40.620	-0.3984	0.0210	0.9272	-11.0474	16.0522	40.1001	1.3403	15.2600	60.4028	43.7600	615	325	-152	99953	1.15 
70.443	1 40.640	-0.4507	-0.0781	0.9883	-3.0518	10.5591	29.2358	1.3458	15.5566	61.0291	43.4200	616	325	-152	99953	1.15 
70.459	1 40.660	-0.3091	-0.1265	0.9238	-1.2207	13.7939	28.6255	1.3898	15.7764	61.5948	43.7100	616	322	-151	99953	1.15 
70.490	1 40.680	-0.2788	-0.0981	0.9971	-1.4038	12.0239	33.9355	1.4667	16.0455	62.2485	43.5700	616	319	-149	99953	1.15 
70.521	1 40.700	-0.2676	-0.0083	0.9414	1.1597	5.7983	33.9966	1.6040	16.1993	62.9517	43.6600	616	318	-147	99953	1.15 
70.521	1 40.720	-0.2246	0.0806	0.8994	3.7842	12.1460	24.2310	1.8457	16.3037	63.5010	43.6600	617	316	-146	99953	1.15 
70.553	1 40.740	-0.3013	0.0522	0.9443	3.1738	6.8359	12.9395	2.0380	16.5070	63.8141	43.6600	619	315	-145	99953	1.15 
70.568	1 40.760	-0.2617	0.0313	0.8838	4.9438	3.7231	5.7983	2.1808	16.5729	63.9404	43.6600	620	319	-146	99953	1.15 
70.600	1 40.780	-0.2368	0.0273	0.8730	7.3853	5.9814	2.5635	2.3236	16.6608	63.9679	43.6600	621	321	-146	99953	1.15 
70.615	1 40.800	-0.2109	0.0225	0.8979	7.9346	5.7373	-0.4883	2.4829	16.7487	63.9404	43.7100	621	321	-148	99953	1.15 
70.631	1 40.820	-0.1875	0.0410	0.8862	6.6528	4.6997	-5.2490	2.6038	16.7871	63.8306	43.5700	619	317	-147	99953	1.15 
70.647	1 40.840	-0.1719	0.0391	0.9185	6.4697	6.6528	-10.4980	2.6807	16.8420	63.6328	43.8500	621	315	-148	99953	1.15 
70.647	1 40.860	-0.1992	0.0264	0.9692	7.3853	6.9580	-18.1885	2.7191	16.9409	63.2922	43.8500	621	315	-147	99952	1.15 
70.678	1 40.880	-0.1665	0.0332	0.9771	10.3760	3.1738	-25.4517	2.7411	16.9684	62.7924	43.5700	621	315	-146	99952	1.15 
70.725	1 40.900	-0.2676	0.0317	1.1221	11.9019	-1.8921	-29.7241	2.7960	16.9904	62.1936	43.5700	621	316	-147	99953	1.15 
70.725	1 40.920	-0.1738	0.0698	1.0454	13.3667	-1.4038	-28.8696	2.8894	16.8475	61.5674	43.5200	620	318	-147	99953	1.15 
70.756	1 40.940	-0.2363	0.1016	1.1665	13.2446	-3.0518	-26.6113	3.0103	16.7871	60.9906	43.6600	620	320	-147	99953	1.15 
70.756	1 40.960	-0.1123	0.0981	1.2129	14.5264	-12.8174	-26.3062	3.1641	16.5015	60.4413	43.9000	620	322	-148	99953	1.15 
70.803	1 40.980	-0.0542	0.0107	1.2871	15.8691	-25.6958	-32.4097	3.2794	15.9686	59.8206	43.6600	618	321	-149	99953	1.15 
70.818	1 41.000	-0.1099	-0.1191	1.3193	17.7612	-17.3950	-44.0063	3.2904	15.3864	58.9856	43.4200	617	322	-149	99953	1.15 
70.834	1 41.020	-0.5337	0.0537	1.4438	21.7896	-5.1880	-41.6870	3.4058	15.2600	58.0957	43.8500	616	322	-149	99953	1.15 
70.850	1 41.040	-0.8208	0.2500	1.3516	19.4702	-3.8452	-25.3296	3.6969	15.4028	57.3981	43.6600	615	324	-150	99953	1.15 
70.850	1 41.060	-0.7207	0.2222	0.9878	14.4653	-22.0337	-6.5308	4.0540	15.3314	57.0520	43.5200	612	330	-153	99953	1.15 
70.943	1 41.080	-0.5137	0.0269	0.6626	11.3525	-8.7280	-8.1177	4.3121	15.3040	56.8268	43.5700	609	334	-155	99953	1.15 
70.943	1 41.100	-0.4663	-0.1777	0.7446	15.4419	6.3477	-24.1699	4.3616	15.6226	56.4368	43.7600	606	336	-157	99953	1.15 
70.975	1 41.120	-0.2988	-0.2085	0.7754	19.1040	6.1646	-38.5742	4.2957	15.8588	55.7776	43.7100	605	338	-158	99953	1.15 
70.975	1 41.140	-0.3545	-0.0562	0.9048	17.3950	8.9111	-37.2314	4.3011	16.1554	55.0140	43.7100	604	339	-159	99953	1.15 
70.990	1 41.160	-0.4106	0.1177	0.8965	8.6060	2.0752	-25.0244	4.3671	16.3806	54.4098	43.4200	603	341	-159	99953	1.15 
70.990	1 41.180	-0.4321	0.2134	0.8896	-2.3193	0.1221	-19.8975	4.3616	16.5399	53.9648	43.5700	602	342	-159	99953	1.15 
71.037	1 41.200	-0.3843	0.2700	0.9126	-7.7515	-2.8076	-22.5220	4.2407	16.6168	53.5254	43.5700	601	343	-160	99953	1.15 
71.053	1 41.220	-0.3096	0.2896	0.9067	-6.8359	-16.9678	-17.5171	4.1199	16.4685	53.1134	43.5700	599	346	-159	99953	1.15 
71.084	1 41.240	-0.2041	0.1899	0.8447	-7.2632	-22.3999	-12.3901	4.0265	16.0620	52.8278	43.7100	596	346	-159	99953	1.15 
71.100	1 41.260	-0.1670	0.0713	0.8276	-10.1929	-12.9395	-2.5635	3.8452	15.6720	52.7289	43.6600	594	347	-159	99953	1.15 
71.131	1 41.280	-0.2329	0.0273	0.9102	-15.8081	-5.7373	8.9111	3.5760	15.4907	52.8607	43.5700	594	348	-160	99953	1.15 
71.162	1 41.300	-0.2231	0.0376	0.8936	-18.4937	-6.6528	19.9585	3.2849	15.3369	53.2343	43.5700	593	351	-162	99953	1.15 
71.209	1 41.320	-0.2007	0.0332	0.8369	-17.2119	-6.9580	25.1465	3.0542	15.1611	53.7561	43.5200	594	352	-162	99953	1.15 
71.240	1 41.340	-0.1426	-0.0195	0.8096	-13.6108	-0.3662	23.8037	2.8619	15.0238	54.3054	43.6600	594	353	-162	99953	1.15 
71.240	1 41.360	-0.1416	-0.0562	0.8887	-10.4980	1.7090	23.5596	2.6917	14.9744	54.8438	43.6600	594	352	-164	99953	1.15 
71.240	1 41.380	-0.1323	-0.0728	0.9438	-7.3242	2.5024	23.7427	2.5708	14.8975	55.3711	43.6600	593	350	-165	99953	1.15 
71.240	1 41.400	-0.1128	-0.0630	0.9546	-4.9438	2.8076	26.6724	2.5214	14.8260	55.9369	43.7100	593	351	-167	99953	1.15 
71.256	1 41.420	-0.0942	-0.0308	0.9956	-4.2725	7.2021	28.6255	2.5214	14.8096	56.5576	43.7600	593	351	-168	99953	1.15 
71.272	1 41.440	-0.1074	-0.0103	1.0757	-1.6479	6.2866	26.7944	2.5708	14.8206	57.1619	43.6600	593	349	-167	99953	1.15 
71.303	1 41.460	-0.1318	0.0078	1.1274	0.4883	2.1973	21.3623	2.6642	14.7711	57.6617	43.5700	594	346	-166	99953	1.15 
71.334	1 41.480	-0.1699	-0.0146	1.1523	0.3662	-2.6245	15.0146	2.7246	14.6613	58.0298	43.5700	594	345	-166	99952	1.15 
71.334	1 41.500	-0.1758	-0.0381	1.2104	-2.5024	-5.9814	9.1553	2.7081	14.4800	58.2660	43.6600	596	343	-166	99953	1.15 
71.365	1 41.520	-0.1372	-0.0015	1.2397	-5.3711	-13.0005	10.2539	2.6202	14.1779	58.4528	43.4200	596	342	-163	99953	1.15 
71.397	1 41.540	-0.0454	0.0835	1.2285	-8.0566	-21.9116	15.2588	2.5378	13.6725	58.7109	43.6600	597	340	-163	99953	1.15 
71.397	1 41.560	-0.0820	0.1631	1.2559	-13.3667	-18.9819	19.6533	2.4445	13.1012	59.0845	43.6600	596	339	-163	99953	1.15 
71.428	1 41.580	-0.4009	0.1118	1.3906	-19.7144	-16.8457	14.2822	2.2192	12.7277	59.3976	43.5700	596	339	-163	99953	1.15 
71.443	1 41.600	-0.6001	-0.0913	1.3667	-19.2871	-11.7188	2.3804	1.8292	12.5299	59.5020	43.6600	597	339	-165	99953	1.15 
71.475	1 41.620	-0.7021	-0.0884	1.1348	-9.7656	-14.6484	-3.8452	1.4722	12.4915	59.3646	43.7100	596	341	-167	99953	1.15 
71.490	1 41.640	-0.4297	0.1055	0.6782	-7.7515	-12.4512	10.2539	1.3843	12.4475	59.3372	43.5200	596	342	-171	99953	1.15 
71.537	1 41.660	-0.3364	0.3149	0.6899	-13.7329	22.9492	34.4849	1.5051	12.7771	59.7491	43.6600	595	343	-173	99953	1.15 
71.568	1 41.680	-0.2876	0.3354	0.7329	-21.6064	15.6250	63.5986	1.6534	13.2001	60.7819	43.6600	596	343	-173	99953	1.15 
71.568	1 41.700	-0.2676	0.1987	0.8052	-20.0195	25.0854	69.6411	1.7688	13.6066	62.1442	43.4200	596	340	-170	99953	1.15 
71.600	1 41.720	-0.3418	0.0703	0.9741	-14.9536	18.1274	57.3730	1.8182	14.0515	63.3801	43.6600	596	336	-167	99953	1.15 
71.600	1 41.740	-0.3613	0.0156	0.9727	-7.1411	15.8081	43.9453	1.8787	14.4141	64.2865	43.6600	596	333	-165	99953	1.15 
71.662	1 41.760	-0.3335	0.0151	0.9609	-5.9814	18.1885	41.9312	1.9666	14.7876	65.0610	43.4200	599	332	-162	99953	1.15 
71.662	1 41.780	-0.2368	-0.0220	0.9067	-5.5542	13.9160	47.1802	2.0764	15.0787	65.9235	43.5700	600	330	-162	99953	1.15 
71.662	1 41.800	-0.2148	-0.0137	0.9365	-5.0049	16.7236	47.3633	2.1863	15.3479	66.8408	43.6600	601	327	-159	99953	1.15 
71.662	1 41.820	-0.2266	0.0366	0.9468	-4.2725	15.3809	39.1235	2.3236	15.6061	67.6538	43.6600	603	325	-158	99953	1.15 
71.678	1 41.840	-0.2583	0.0718	0.8916	-3.2959	10.0098	27.6489	2.4554	15.8038	68.2086	43.5200	605	323	-156	99953	1.15 
71.709	1 41.860	-0.2485	0.0293	0.8374	-2.2583	9.5215	17.5781	2.5488	15.9741	68.5327	43.5200	606	321	-152	99953	1.15 
71.803	1 41.880	-0.2568	0.0415	0.8599	-1.2207	10.8032	11.7798	2.6038	16.1829	68.7085	43.5200	607	319	-149	99953	1.15 
71.803	1 41.900	-0.2319	0.0459	0.8867	1.0376	9.0332	9.8267	2.6752	16.3641	68.8239	43.6600	608	317	-147	99953	1.15 
71.803	1 41.920	-0.1909	0.0840	0.8921	2.6855	8.6060	6.2256	2.7795	16.4850	68.8788	43.5700	610	318	-149	99953	1.15 
71.834	1 41.940	-0.1670	0.0869	0.9131	2.4414	7.4463	0.0000	2.8729	16.5894	68.8348	43.7600	611	318	-148	99953	1.15 
71.850	1 41.960	-0.1626	0.0776	0.9639	2.8076	7.9346	-7.2632	2.9279	16.6553	68.6481	43.6600	612	318	-148	99953	1.15 
71.865	1 41.980	-0.1699	0.0635	1.0049	3.1738	3.7842	-13.4888	2.9279	16.6937	68.3240	43.7600	612	319	-148	99953	1.15 
71.865	1 42.000	-0.1860	0.0649	1.0459	2.3804	2.2583	-19.7144	2.8839	16.6937	67.8790	43.6600	614	317	-147	99953	1.15 
71.881	1 42.020	-0.2036	0.0801	1.0894	2.9297	0.7324	-26.6113	2.7960	16.6663	67.2913	43.4200	614	317	-149	99953	1.15 
71.912	1 42.040	-0.1851	0.0942	1.0718	4.7607	-3.9063	-28.9307	2.7356	16.5894	66.6266	43.5700	613	317	-150	99953	1.15 
71.912	1 42.060	-0.3477	0.1357	1.3262	9.6436	-3.7842	-27.6489	2.7686	16.6608	65.9729	43.6600	612	317	-150	99953	1.15 
72.084	1 42.080	-0.1875	0.1318	1.2983	13.7329	-16.4185	-28.0762	2.8894	16.3751	65.3247	43.7100	612	318	-150	99953	1.15 
72.084	1 42.100	-0.1143	0.0122	1.3496	17.5171	-24.9023	-33.6304	3.0157	15.8258	64.6051	43.6600	611	320	-150	99953	1.15 
72.084	1 42.120	-0.2241	0.0181	1.3828	23.8647	-22.8271	-37.2314	3.2025	15.2985	63.7811	43.7100	609	322	-153	99953	1.15 
72.084	1 42.140	-0.3916	0.1899	1.3442	25.3906	-8.2397	-29.7241	3.5541	15.0293	63.0286	43.6600	609	324	-153	99953	1.15 
72.084	1 42.160	-0.6230	0.2500	1.3247	21.6064	-1.7700	-12.4512	3.9825	15.0842	62.5507	43.7100	607	326	-154	99953	1.15 
72.115	1 42.180	-0.5469	0.1851	0.9370	15.1978	-19.0430	2.6855	4.4220	14.9854	62.4023	43.5700	607	329	-155	99953	1.15 
72.162	1 42.200	-0.3906	-0.0508	0.6108	8.7891	-8.4229	-5.9204	4.6088	14.9194	62.2430	43.5200	608	331	-156	99953	1.15 
72.162	1 42.220	-0.3135	-0.1797	0.6055	12.1460	5.4321	-20.0195	4.5483	15.1392	61.8915	43.5700	608	333	-157	99953	1.15 
72.178	1 42.240	-0.2925	-0.1807	0.6772	13.8550	14.5264	-27.4048	4.4330	15.5127	61.3696	43.6600	608	332	-159	99953	1.15 
72.178	1 42.260	-0.4067	-0.0410	0.8257	10.9863	21.5454	-21.4233	4.4110	16.0510	60.8643	43.6600	606	331	-159	99953	1.15 
72.178	1 42.280	-0.4663	0.0991	0.8828	7.0190	14.4043	-12.6343	4.5154	16.5344	60.4962	43.7100	604	331	-159	99953	1.15 
72.194	1 42.300	-0.4263	0.2051	0.8755	-2.0142	7.9956	-4.7607	4.5703	16.8365	60.2875	43.5700	604	331	-158	99953	1.15 
72.194	1 42.320	-0.4609	0.2593	0.9961	-7.4463	6.4697	-3.6621	4.5483	17.0947	60.1501	43.6600	605	334	-158	99953	1.15 
