StartTime: 2017-08-04 14:25:47.082
Time(s)	ChipTime	ax(g)	ay(g)	az(g) 
9.190	2015-01-01 00:01:43.220	0.1777	0.0371	1.0161 
9.190	2015-01-01 00:01:43.240	0.2173	0.0376	1.0669 
9.190	2015-01-01 00:01:43.260	0.2480	0.0137	1.0933 
9.203	2015-01-01 00:01:43.280	0.2373	0.0381	1.0747 
9.274	2015-01-01 00:01:43.300	0.2368	0.1304	1.0698 
9.322	2015-01-01 00:01:43.320	0.2466	0.1250	1.0156 
9.322	2015-01-01 00:01:43.340	0.1230	0.2246	1.0796 
9.323	2015-01-01 00:01:43.360	0.0732	0.2329	1.2910 
9.323	2015-01-01 00:01:43.380	-0.0210	0.0728	1.3799 
9.343	2015-01-01 00:01:43.400	-0.2285	0.0098	1.4775 
9.343	2015-01-01 00:01:43.420	-0.3535	0.0293	1.3149 
9.358	2015-01-01 00:01:43.440	-0.2456	0.0942	0.8965 
9.374	2015-01-01 00:01:43.460	-0.0864	0.0645	0.7637 
9.448	2015-01-01 00:01:43.480	-0.1909	0.0381	0.9922 
9.626	2015-01-01 00:01:43.500	-0.3306	0.0840	1.1646 
9.627	2015-01-01 00:01:43.520	-0.3140	0.0801	1.0869 
9.721	2015-01-01 00:01:43.540	-0.2837	-0.0254	1.0449 
9.723	2015-01-01 00:01:43.560	-0.2520	-0.1685	0.9785 
9.724	2015-01-01 00:01:43.580	-0.2227	-0.2637	0.9014 
9.725	2015-01-01 00:01:43.600	-0.1992	-0.3115	0.9556 
9.725	2015-01-01 00:01:43.620	-0.1802	-0.3008	1.0229 
9.726	2015-01-01 00:01:43.640	-0.1362	-0.2197	0.9604 
9.726	2015-01-01 00:01:43.660	-0.0908	-0.2129	0.9243 
9.813	2015-01-01 00:01:43.680	-0.0928	-0.2334	0.9189 
9.814	2015-01-01 00:01:43.700	-0.1006	-0.2656	0.9194 
9.814	2015-01-01 00:01:43.720	-0.0811	-0.2827	0.9253 
9.814	2015-01-01 00:01:43.740	-0.0508	-0.2461	0.9409 
9.815	2015-01-01 00:01:43.760	-0.0322	-0.1978	0.9741 
9.815	2015-01-01 00:01:43.780	-0.0259	-0.1978	0.9971 
9.816	2015-01-01 00:01:43.800	-0.0112	-0.1987	0.9849 
9.816	2015-01-01 00:01:43.820	-0.0054	-0.2070	0.9595 
9.915	2015-01-01 00:01:43.840	0.0259	-0.2183	0.9038 
9.918	2015-01-01 00:01:43.860	0.0190	-0.2402	0.9121 
9.925	2015-01-01 00:01:43.880	0.0332	-0.2603	0.9102 
9.975	2015-01-01 00:01:43.900	0.0449	-0.2725	0.9077 
9.976	2015-01-01 00:01:43.920	0.0503	-0.2363	0.8896 
9.994	2015-01-01 00:01:43.940	0.0640	-0.2183	0.8721 
9.995	2015-01-01 00:01:43.960	0.0664	-0.1792	0.8325 
9.995	2015-01-01 00:01:43.980	0.0190	-0.1348	0.8418 
9.995	2015-01-01 00:01:44.000	-0.0259	-0.1113	0.9546 
9.995	2015-01-01 00:01:44.020	-0.0298	-0.1797	1.0337 
9.996	2015-01-01 00:01:44.040	0.0269	-0.2510	1.0171 
9.996	2015-01-01 00:01:44.060	0.1401	-0.1938	1.1353 
9.996	2015-01-01 00:01:44.080	0.2642	-0.0640	1.3311 
10.010	2015-01-01 00:01:44.100	0.2476	-0.0059	1.4937 
10.124	2015-01-01 00:01:44.120	0.0820	-0.2822	1.3394 
10.213	2015-01-01 00:01:44.140	0.1689	-0.4126	1.0796 
10.213	2015-01-01 00:01:44.160	-0.0386	-0.3447	1.2437 
10.214	2015-01-01 00:01:44.180	-0.3750	-0.2305	1.2964 
10.214	2015-01-01 00:01:44.200	-0.4316	-0.1567	1.0117 
10.214	2015-01-01 00:01:44.220	-0.3091	-0.0293	0.7144 
10.318	2015-01-01 00:01:44.240	-0.2056	0.1738	0.6831 
10.321	2015-01-01 00:01:44.260	-0.1890	0.0996	0.9849 
10.322	2015-01-01 00:01:44.280	-0.2407	-0.2173	1.2134 
10.322	2015-01-01 00:01:44.300	-0.2114	-0.3403	1.0806 
10.405	2015-01-01 00:01:44.320	-0.1870	-0.3574	1.0996 
10.406	2015-01-01 00:01:44.340	-0.2002	-0.3550	1.1592 
10.406	2015-01-01 00:01:44.360	-0.1772	-0.1934	1.0591 
10.407	2015-01-01 00:01:44.380	-0.0850	-0.0244	0.8931 
10.407	2015-01-01 00:01:44.400	-0.0068	0.0991	0.8296 
10.408	2015-01-01 00:01:44.420	0.0020	0.1050	0.8413 
10.428	2015-01-01 00:01:44.440	-0.0044	0.0352	0.8979 
10.431	2015-01-01 00:01:44.460	0.0054	-0.0376	0.8906 
10.536	2015-01-01 00:01:44.480	0.0234	-0.0283	0.8809 
10.538	2015-01-01 00:01:44.500	0.0229	0.0083	0.9326 
10.570	2015-01-01 00:01:44.520	0.0391	0.0034	0.9512 
10.583	2015-01-01 00:01:44.540	0.0894	-0.0083	0.9365 
10.583	2015-01-01 00:01:44.560	0.0908	-0.0186	0.9199 
10.583	2015-01-01 00:01:44.580	0.1104	-0.0210	0.9180 
10.583	2015-01-01 00:01:44.600	0.1382	-0.0376	0.9102 
10.583	2015-01-01 00:01:44.620	0.1426	-0.0244	0.8701 
10.584	2015-01-01 00:01:44.640	0.1094	-0.0190	0.8970 
10.584	2015-01-01 00:01:44.660	0.0693	0.0078	0.9956 
10.598	2015-01-01 00:01:44.680	0.0298	0.0527	1.0645 
10.614	2015-01-01 00:01:44.700	0.0605	0.0356	1.0381 
10.631	2015-01-01 00:01:44.720	0.0420	-0.0039	1.0493 
10.702	2015-01-01 00:01:44.740	0.0371	-0.1060	1.1504 
10.744	2015-01-01 00:01:44.760	0.1738	-0.1802	1.2212 
10.744	2015-01-01 00:01:44.780	0.3613	-0.1621	1.1045 
10.744	2015-01-01 00:01:44.800	0.3926	-0.1572	1.1323 
10.745	2015-01-01 00:01:44.820	0.0459	0.0059	1.3560 
10.769	2015-01-01 00:01:44.840	-0.0996	0.0859	1.4380 
10.769	2015-01-01 00:01:44.860	-0.2246	0.0913	1.4375 
10.784	2015-01-01 00:01:44.880	-0.3872	0.0957	1.3457 
10.830	2015-01-01 00:01:44.900	-0.4150	0.0518	1.1050 
10.832	2015-01-01 00:01:44.920	-0.1924	-0.1279	0.5894 
10.906	2015-01-01 00:01:44.940	0.0513	-0.3198	0.3184 
10.909	2015-01-01 00:01:44.960	-0.0347	-0.2676	0.7251 
10.909	2015-01-01 00:01:44.980	-0.2764	-0.0283	1.2744 
10.923	2015-01-01 00:01:45.000	-0.3188	0.0884	1.3901 
10.939	2015-01-01 00:01:45.020	-0.2422	0.0889	1.2119 
11.000	2015-01-01 00:01:45.040	-0.1055	-0.0112	0.9453 
11.016	2015-01-01 00:01:45.060	-0.0269	-0.1597	0.8125 
11.017	2015-01-01 00:01:45.080	-0.0278	-0.1987	0.8867 
11.017	2015-01-01 00:01:45.100	-0.0752	-0.2251	0.9419 
11.032	2015-01-01 00:01:45.120	-0.0576	-0.2524	0.9111 
11.143	2015-01-01 00:01:45.140	-0.0142	-0.2563	0.9004 
11.207	2015-01-01 00:01:45.160	-0.0020	-0.2305	0.8921 
11.207	2015-01-01 00:01:45.180	-0.0156	-0.2158	0.8652 
11.208	2015-01-01 00:01:45.200	-0.0522	-0.1992	0.8589 
11.208	2015-01-01 00:01:45.220	-0.0215	-0.1987	0.9395 
11.208	2015-01-01 00:01:45.240	0.0220	-0.2124	1.0293 
11.233	2015-01-01 00:01:45.260	-0.0059	-0.1772	0.9966 
11.234	2015-01-01 00:01:45.280	-0.0117	-0.1646	0.9458 
11.234	2015-01-01 00:01:45.300	0.0249	-0.1938	0.9268 
11.235	2015-01-01 00:01:45.320	0.0225	-0.2339	0.9111 
11.308	2015-01-01 00:01:45.340	0.0352	-0.2285	0.9336 
11.359	2015-01-01 00:01:45.360	0.0386	-0.2388	1.0063 
11.359	2015-01-01 00:01:45.380	0.0640	-0.2373	0.9961 
11.359	2015-01-01 00:01:45.400	0.0850	-0.2559	0.9033 
11.373	2015-01-01 00:01:45.420	0.0698	-0.2866	0.9038 
11.373	2015-01-01 00:01:45.440	0.0425	-0.3188	0.9868 
11.373	2015-01-01 00:01:45.460	0.0552	-0.3291	1.0732 
11.389	2015-01-01 00:01:45.480	0.1230	-0.1895	1.1548 
11.420	2015-01-01 00:01:45.500	0.2070	-0.0117	1.2515 
11.501	2015-01-01 00:01:45.520	0.2090	0.0400	1.2612 
11.555	2015-01-01 00:01:45.540	0.0801	-0.2822	1.1362 
11.561	2015-01-01 00:01:45.560	0.1367	-0.4043	1.0752 
11.602	2015-01-01 00:01:45.580	-0.1367	-0.4214	1.4673 
11.603	2015-01-01 00:01:45.600	-0.4971	-0.4180	1.6138 
11.621	2015-01-01 00:01:45.620	-0.4863	-0.3452	1.0391 
11.622	2015-01-01 00:01:45.640	-0.2549	-0.1289	0.5977 
11.622	2015-01-01 00:01:45.660	-0.1396	0.0371	0.7183 
11.622	2015-01-01 00:01:45.680	-0.1523	-0.0640	1.0483 
11.622	2015-01-01 00:01:45.700	-0.1846	-0.3354	1.0659 
11.622	2015-01-01 00:01:45.720	-0.1812	-0.4146	0.9297 
11.698	2015-01-01 00:01:45.740	-0.1860	-0.3140	0.9429 
11.699	2015-01-01 00:01:45.760	-0.1870	-0.1772	1.0317 
11.745	2015-01-01 00:01:45.780	-0.1440	-0.0225	0.9595 
11.745	2015-01-01 00:01:45.800	-0.0820	0.0908	0.9292 
11.761	2015-01-01 00:01:45.820	-0.0859	0.0498	0.9312 
11.761	2015-01-01 00:01:45.840	-0.0918	-0.0220	0.9717 
11.776	2015-01-01 00:01:45.860	-0.0947	-0.0454	1.0029 
11.791	2015-01-01 00:01:45.880	-0.0498	-0.0435	0.9634 
11.901	2015-01-01 00:01:45.900	-0.0278	-0.0029	0.9312 
11.992	2015-01-01 00:01:45.920	-0.0063	0.0273	0.9111 
12.005	2015-01-01 00:01:45.940	-0.0029	0.0088	0.9507 
12.005	2015-01-01 00:01:45.960	0.0186	-0.0308	0.9683 
12.006	2015-01-01 00:01:45.980	0.0337	-0.0610	0.9263 
12.006	2015-01-01 00:01:46.000	0.0483	-0.0659	0.9028 
12.096	2015-01-01 00:01:46.020	0.0444	-0.0278	0.8789 
12.176	2015-01-01 00:01:46.040	0.0737	-0.0059	0.9019 
12.268	2015-01-01 00:01:46.060	0.0957	0.0098	0.9409 
12.270	2015-01-01 00:01:46.080	0.0859	0.0850	0.9409 
12.278	2015-01-01 00:01:46.100	0.0581	0.0913	0.9551 
12.357	2015-01-01 00:01:46.120	0.0557	0.0752	1.0210 
12.456	2015-01-01 00:01:46.140	0.0762	-0.0342	1.0625 
12.465	2015-01-01 00:01:46.160	0.0596	-0.1758	1.0088 
12.533	2015-01-01 00:01:46.180	0.0996	-0.2744	1.0654 
12.574	2015-01-01 00:01:46.200	0.1499	-0.2827	1.1772 
12.575	2015-01-01 00:01:46.220	0.2388	-0.2358	1.1870 
12.610	2015-01-01 00:01:46.240	0.3174	-0.2920	1.1221 
12.610	2015-01-01 00:01:46.260	0.0869	-0.1396	1.1948 
12.610	2015-01-01 00:01:46.280	-0.1396	0.0171	1.3511 
12.610	2015-01-01 00:01:46.300	-0.2505	-0.0630	1.3994 
12.611	2015-01-01 00:01:46.320	-0.4209	-0.0654	1.3589 
12.611	2015-01-01 00:01:46.340	-0.4668	-0.0576	1.2144 
12.611	2015-01-01 00:01:46.360	-0.3071	-0.1089	0.8833 
12.611	2015-01-01 00:01:46.380	-0.0713	-0.1768	0.5898 
12.612	2015-01-01 00:01:46.400	-0.0361	-0.0850	0.8647 
12.612	2015-01-01 00:01:46.420	-0.2080	0.0767	1.2583 
12.612	2015-01-01 00:01:46.440	-0.2275	0.1353	1.1001 
12.612	2015-01-01 00:01:46.460	-0.1304	0.0723	0.8745 
12.629	2015-01-01 00:01:46.480	-0.1089	-0.0566	0.8911 
12.629	2015-01-01 00:01:46.500	-0.0889	-0.2231	0.9531 
12.629	2015-01-01 00:01:46.520	-0.0542	-0.2964	0.9121 
12.629	2015-01-01 00:01:46.540	-0.0337	-0.2764	0.8901 
12.630	2015-01-01 00:01:46.560	-0.0737	-0.2314	0.9272 
12.630	2015-01-01 00:01:46.580	-0.0942	-0.2100	0.9775 
12.630	2015-01-01 00:01:46.600	-0.0684	-0.1934	0.9692 
12.630	2015-01-01 00:01:46.620	-0.0537	-0.1860	0.9048 
12.630	2015-01-01 00:01:46.640	-0.0620	-0.1626	0.9146 
12.630	2015-01-01 00:01:46.660	-0.0527	-0.1260	0.9814 
12.630	2015-01-01 00:01:46.680	-0.0381	-0.1323	0.9746 
12.631	2015-01-01 00:01:46.700	-0.0215	-0.1807	0.9556 
12.631	2015-01-01 00:01:46.720	-0.0190	-0.2178	0.9771 
12.644	2015-01-01 00:01:46.740	0.0029	-0.2251	0.9897 
12.668	2015-01-01 00:01:46.760	0.0083	-0.2075	0.9756 
12.746	2015-01-01 00:01:46.780	0.0317	-0.1924	0.9385 
12.796	2015-01-01 00:01:46.800	0.0513	-0.1997	0.9165 
12.796	2015-01-01 00:01:46.820	0.0591	-0.2075	0.8984 
12.797	2015-01-01 00:01:46.840	0.0688	-0.2041	0.9102 
12.816	2015-01-01 00:01:46.860	0.0605	-0.1846	0.9053 
12.817	2015-01-01 00:01:46.880	0.0654	-0.1650	0.8931 
12.817	2015-01-01 00:01:46.900	0.0610	-0.1904	0.9746 
12.831	2015-01-01 00:01:46.920	0.0527	-0.2041	1.0249 
12.850	2015-01-01 00:01:46.940	0.0693	-0.2002	0.9805 
12.931	2015-01-01 00:01:46.960	0.1104	-0.1860	1.0166 
13.103	2015-01-01 00:01:46.980	0.1172	-0.1675	1.0708 
13.103	2015-01-01 00:01:47.000	0.1353	-0.1514	1.1084 
13.199	2015-01-01 00:01:47.020	0.1611	-0.1274	1.1553 
13.209	2015-01-01 00:01:47.040	0.0864	-0.1484	1.2637 
13.296	2015-01-01 00:01:47.060	-0.0200	-0.3418	1.1558 
13.387	2015-01-01 00:01:47.080	-0.0093	-0.3467	1.2041 
13.390	2015-01-01 00:01:47.100	-0.1343	-0.3618	1.3389 
13.390	2015-01-01 00:01:47.120	-0.2798	-0.2456	1.2803 
13.483	2015-01-01 00:01:47.140	-0.3350	-0.1680	1.0405 
13.483	2015-01-01 00:01:47.160	-0.3306	0.0161	0.8086 
13.578	2015-01-01 00:01:47.180	-0.2930	0.2026	0.7754 
13.587	2015-01-01 00:01:47.200	-0.3096	0.0732	1.0977 
13.672	2015-01-01 00:01:47.220	-0.3877	-0.1689	1.2124 
13.673	2015-01-01 00:01:47.240	-0.3486	-0.2793	1.0049 
13.673	2015-01-01 00:01:47.260	-0.2974	-0.2593	0.9390 
13.673	2015-01-01 00:01:47.280	-0.3120	-0.1240	1.0620 
13.674	2015-01-01 00:01:47.300	-0.2681	0.0688	0.9995 
13.675	2015-01-01 00:01:47.320	-0.2158	0.1719	0.9175 
13.675	2015-01-01 00:01:47.340	-0.1724	0.0938	0.9365 
13.675	2015-01-01 00:01:47.360	-0.1675	0.0254	0.9136 
13.676	2015-01-01 00:01:47.380	-0.1748	0.0200	0.8813 
13.676	2015-01-01 00:01:47.400	-0.2100	0.0454	0.9409 
13.763	2015-01-01 00:01:47.420	-0.2236	0.0479	1.0098 
13.836	2015-01-01 00:01:47.440	-0.1895	0.0103	1.0117 
13.841	2015-01-01 00:01:47.460	-0.1709	-0.0117	1.0029 
13.881	2015-01-01 00:01:47.480	-0.1948	0.0088	1.0269 
13.926	2015-01-01 00:01:47.500	-0.2026	0.0703	0.9941 
13.926	2015-01-01 00:01:47.520	-0.1909	0.1152	0.9702 
13.929	2015-01-01 00:01:47.540	-0.1685	0.0645	0.9937 
13.929	2015-01-01 00:01:47.560	-0.1636	-0.0444	1.0503 
13.929	2015-01-01 00:01:47.580	-0.1636	-0.0508	1.0244 
13.930	2015-01-01 00:01:47.600	-0.1899	0.0376	1.0000 
13.930	2015-01-01 00:01:47.620	-0.1748	0.0532	0.9575 
13.930	2015-01-01 00:01:47.640	-0.1274	-0.0029	0.9175 
13.931	2015-01-01 00:01:47.660	-0.1519	-0.0132	0.9805 
13.931	2015-01-01 00:01:47.680	-0.1646	-0.0767	1.0664 
13.931	2015-01-01 00:01:47.700	-0.1655	-0.1787	1.0620 
13.931	2015-01-01 00:01:47.720	-0.1890	-0.1572	1.0244 
13.932	2015-01-01 00:01:47.740	-0.1992	-0.0825	0.9883 
13.932	2015-01-01 00:01:47.760	-0.1826	-0.0459	0.9551 
13.933	2015-01-01 00:01:47.780	-0.1460	-0.0625	0.9448 
13.933	2015-01-01 00:01:47.800	-0.1138	-0.1138	0.9575 
13.933	2015-01-01 00:01:47.820	-0.1519	-0.1011	1.0029 
13.933	2015-01-01 00:01:47.840	-0.1558	-0.0830	1.0000 
13.933	2015-01-01 00:01:47.860	-0.1372	-0.1040	0.9697 
13.933	2015-01-01 00:01:47.880	-0.1646	-0.1338	0.9976 
13.934	2015-01-01 00:01:47.900	-0.1763	-0.1553	1.0283 
13.934	2015-01-01 00:01:47.920	-0.1626	-0.1626	1.0273 
13.934	2015-01-01 00:01:47.940	-0.1553	-0.1309	1.0181 
13.934	2015-01-01 00:01:47.960	-0.1338	-0.1055	1.0005 
13.934	2015-01-01 00:01:47.980	-0.1030	-0.0962	0.9932 
13.947	2015-01-01 00:01:48.000	-0.0859	-0.1050	0.9912 
13.983	2015-01-01 00:01:48.020	-0.0967	-0.1104	0.9956 
13.983	2015-01-01 00:01:48.040	-0.1084	-0.1216	0.9980 
13.994	2015-01-01 00:01:48.060	-0.1133	-0.1240	1.0078 
13.994	2015-01-01 00:01:48.080	-0.1162	-0.1123	1.0239 
14.009	2015-01-01 00:01:48.100	-0.0967	-0.1055	0.9995 
14.025	2015-01-01 00:01:48.120	-0.0918	-0.0962	0.9946 
14.041	2015-01-01 00:01:48.140	-0.0981	-0.0908	1.0073 
14.070	2015-01-01 00:01:48.160	-0.0967	-0.0967	1.0225 
14.153	2015-01-01 00:01:48.180	-0.1021	-0.0981	1.0278 
14.293	2015-01-01 00:01:48.200	-0.1074	-0.1016	1.0117 
14.386	2015-01-01 00:01:48.220	-0.0957	-0.0928	0.9971 
14.388	2015-01-01 00:01:48.240	-0.0967	-0.0952	1.0093 
14.486	2015-01-01 00:01:48.260	-0.0962	-0.1006	1.0220 
14.546	2015-01-01 00:01:48.280	-0.0923	-0.0918	1.0313 
14.583	2015-01-01 00:01:48.300	-0.0894	-0.0864	1.0195 
14.599	2015-01-01 00:01:48.320	-0.0874	-0.0767	1.0063 
14.600	2015-01-01 00:01:48.340	-0.0869	-0.0605	1.0034 
14.659	2015-01-01 00:01:48.360	-0.0898	-0.0625	1.0107 
14.660	2015-01-01 00:01:48.380	-0.0977	-0.0679	1.0093 
14.660	2015-01-01 00:01:48.400	-0.0898	-0.0732	1.0088 
14.660	2015-01-01 00:01:48.420	-0.0845	-0.0664	1.0039 
14.661	2015-01-01 00:01:48.440	-0.0879	-0.0615	1.0181 
14.661	2015-01-01 00:01:48.460	-0.0879	-0.0542	1.0103 
14.661	2015-01-01 00:01:48.480	-0.0903	-0.0537	1.0122 
14.662	2015-01-01 00:01:48.500	-0.0938	-0.0596	1.0176 
14.662	2015-01-01 00:01:48.520	-0.0767	-0.0688	1.0093 
14.662	2015-01-01 00:01:48.540	-0.0923	-0.0615	1.0181 
14.663	2015-01-01 00:01:48.560	-0.0933	-0.0615	1.0186 
14.663	2015-01-01 00:01:48.580	-0.0791	-0.0659	1.0200 
14.663	2015-01-01 00:01:48.600	-0.0820	-0.0620	1.0117 
14.663	2015-01-01 00:01:48.620	-0.0854	-0.0625	1.0151 
14.664	2015-01-01 00:01:48.640	-0.0879	-0.0586	1.0171 
14.664	2015-01-01 00:01:48.660	-0.0854	-0.0610	1.0122 
14.664	2015-01-01 00:01:48.680	-0.0786	-0.0562	1.0127 
14.675	2015-01-01 00:01:48.700	-0.0786	-0.0562	1.0132 
14.676	2015-01-01 00:01:48.720	-0.0869	-0.0640	1.0137 
14.676	2015-01-01 00:01:48.740	-0.0767	-0.0493	1.0166 
14.676	2015-01-01 00:01:48.760	-0.0659	-0.0591	1.0249 
14.691	2015-01-01 00:01:48.780	-0.0586	-0.0664	1.0112 
14.800	2015-01-01 00:01:48.800	-0.0659	-0.0630	1.0039 
14.903	2015-01-01 00:01:48.820	-0.0757	-0.0649	1.0171 
15.002	2015-01-01 00:01:48.840	-0.0752	-0.0630	1.0278 
15.103	2015-01-01 00:01:48.860	-0.0728	-0.0605	1.0244 
15.103	2015-01-01 00:01:48.880	-0.0703	-0.0645	1.0259 
15.111	2015-01-01 00:01:48.900	-0.0737	-0.0620	1.0049 
15.196	2015-01-01 00:01:48.920	-0.0605	-0.0630	1.0039 
15.295	2015-01-01 00:01:48.940	-0.0552	-0.0659	1.0146 
15.301	2015-01-01 00:01:48.960	-0.0586	-0.0571	1.0122 
15.343	2015-01-01 00:01:48.980	-0.0693	-0.0566	1.0239 
15.343	2015-01-01 00:01:49.000	-0.0664	-0.0581	1.0205 
15.350	2015-01-01 00:01:49.020	-0.0591	-0.0620	1.0083 
15.386	2015-01-01 00:01:49.040	-0.0654	-0.0654	1.0273 
15.390	2015-01-01 00:01:49.060	-0.0723	-0.0615	1.0303 
15.390	2015-01-01 00:01:49.080	-0.0547	-0.0498	1.0112 
15.390	2015-01-01 00:01:49.100	-0.0547	-0.0552	1.0186 
15.390	2015-01-01 00:01:49.120	-0.0649	-0.0620	1.0259 
15.391	2015-01-01 00:01:49.140	-0.0483	-0.0630	1.0039 
15.391	2015-01-01 00:01:49.160	-0.0718	-0.0562	1.0161 
15.391	2015-01-01 00:01:49.180	-0.0752	-0.0615	1.0342 
15.391	2015-01-01 00:01:49.200	-0.0518	-0.0615	1.0181 
15.392	2015-01-01 00:01:49.220	-0.0435	-0.0566	1.0059 
15.392	2015-01-01 00:01:49.240	-0.0542	-0.0620	1.0078 
15.392	2015-01-01 00:01:49.260	-0.0571	-0.0557	1.0156 
15.392	2015-01-01 00:01:49.280	-0.0586	-0.0605	1.0239 
15.392	2015-01-01 00:01:49.300	-0.0654	-0.0586	1.0181 
15.392	2015-01-01 00:01:49.320	-0.0557	-0.0571	1.0137 
15.404	2015-01-01 00:01:49.340	-0.0552	-0.0645	1.0161 
15.466	2015-01-01 00:01:49.360	-0.0605	-0.0547	1.0229 
15.467	2015-01-01 00:01:49.380	-0.0664	-0.0518	1.0215 
15.476	2015-01-01 00:01:49.400	-0.0610	-0.0552	1.0122 
15.476	2015-01-01 00:01:49.420	-0.0596	-0.0566	1.0073 
15.476	2015-01-01 00:01:49.440	-0.0610	-0.0596	1.0210 
15.477	2015-01-01 00:01:49.460	-0.0605	-0.0557	1.0161 
15.477	2015-01-01 00:01:49.480	-0.0586	-0.0522	1.0078 
15.497	2015-01-01 00:01:49.500	-0.0513	-0.0420	1.0215 
15.498	2015-01-01 00:01:49.520	-0.0591	-0.0488	1.0190 
15.498	2015-01-01 00:01:49.540	-0.0557	-0.0562	1.0161 
15.498	2015-01-01 00:01:49.560	-0.0518	-0.0547	1.0156 
15.498	2015-01-01 00:01:49.580	-0.0557	-0.0562	1.0190 
15.582	2015-01-01 00:01:49.600	-0.0552	-0.0522	1.0205 
15.643	2015-01-01 00:01:49.620	-0.0527	-0.0488	1.0220 
15.643	2015-01-01 00:01:49.640	-0.0522	-0.0542	1.0171 
15.644	2015-01-01 00:01:49.660	-0.0518	-0.0566	1.0068 
15.644	2015-01-01 00:01:49.680	-0.0654	-0.0674	1.0352 
15.644	2015-01-01 00:01:49.700	-0.0547	-0.0605	1.0000 
15.668	2015-01-01 00:01:49.720	-0.0571	-0.0552	1.0161 
15.669	2015-01-01 00:01:49.740	-0.0640	-0.0527	1.0352 
15.669	2015-01-01 00:01:49.760	-0.0352	-0.0527	0.9917 
15.683	2015-01-01 00:01:49.780	-0.0591	-0.0547	1.0132 
15.760	2015-01-01 00:01:49.800	-0.0732	-0.0659	1.0386 
15.851	2015-01-01 00:01:49.820	-0.0474	-0.0576	1.0166 
15.851	2015-01-01 00:01:49.840	-0.0513	-0.0562	1.0049 
15.852	2015-01-01 00:01:49.860	-0.0669	-0.0562	1.0225 
15.852	2015-01-01 00:01:49.880	-0.0713	-0.0532	1.0215 
15.852	2015-01-01 00:01:49.900	-0.0615	-0.0557	1.0190 
15.853	2015-01-01 00:01:49.920	-0.0586	-0.0537	1.0254 
15.877	2015-01-01 00:01:49.940	-0.0552	-0.0566	1.0146 
15.877	2015-01-01 00:01:49.960	-0.0581	-0.0527	1.0112 
15.901	2015-01-01 00:01:49.980	-0.0605	-0.0537	1.0161 
16.008	2015-01-01 00:01:50.000	-0.0615	-0.0542	1.0146 
16.122	2015-01-01 00:01:50.020	-0.0542	-0.0562	1.0098 
16.125	2015-01-01 00:01:50.040	-0.0586	-0.0562	1.0161 
16.213	2015-01-01 00:01:50.060	-0.0596	-0.0630	1.0132 
16.223	2015-01-01 00:01:50.080	-0.0596	-0.0645	1.0073 
16.314
